Simulation start time,Model,Task,Trial,Simulation test 1,Simulation test 2,Simulation test 3,Simulation finished (within 3 attempts),Animation looks safe,Animation Notes
2025-09-10 19-27-04,linoss_imex,pouring,11,1,,,1,1,Some odd swaying around the main path
2025-09-10 19-27-27,linoss_imex,pouring,12,1,,,1,1,Some odd swaying around the main path
2025-09-10 19-27-50,linoss_imex,pouring,13,1,,,1,1,Some odd swaying around the main path
2025-09-10 19-28-13,linoss_imex,pouring,14,1,,,1,1,Some odd swaying around the main path
2025-09-10 19-28-36,linoss_imex,pouring,15,1,,,1,1,Some odd swaying around the main path
2025-09-10 19-29-22,lru,pouring,0,1,,,1,1,A bit shaky
2025-09-10 19-29-45,lru,pouring,1,1,,,1,1,Some shaking at begninning
2025-09-10 19-30-08,lru,pouring,2,1,,,1,1,Some shaking
2025-09-10 19-30-31,lru,pouring,3,1,,,1,1,
2025-09-10 19-30-54,lru,pouring,4,1,,,1,1,
2025-09-10 19-31-17,lru,pouring,5,1,,,1,1,
2025-09-10 19-31-40,lru,pouring,6,1,,,1,1,Some shaking
2025-09-10 19-32-03,lru,pouring,7,1,,,1,1,
2025-09-10 19-32-26,lru,pouring,8,1,,,1,1,
2025-09-10 19-32-49,lru,pouring,9,1,,,1,1,Some shaking at beginning
2025-09-10 19-33-12,lru,pouring,10,1,,,1,1,
2025-09-10 19-33-35,lru,pouring,11,1,,,1,1,
2025-09-10 19-33-58,lru,pouring,12,1,,,1,1,Some shaking at beginning
2025-09-10 19-34-21,lru,pouring,13,1,,,1,1,
2025-09-10 19-34-44,lru,pouring,14,1,,,1,1,
2025-09-10 19-35-07,lru,pouring,15,1,,,1,1,
2025-09-10 19-35-53,lstm,pouring,0,1,,,1,1,Often some wobbling at beginning
2025-09-10 19-36-16,lstm,pouring,1,1,,,1,1,Often some wobbling at beginning
2025-09-10 19-36-39,lstm,pouring,2,1,,,1,1,Often some wobbling at beginning
2025-09-10 19-37-02,lstm,pouring,3,1,,,1,1,Often some wobbling at beginning
2025-09-10 19-37-25,lstm,pouring,4,1,,,1,1,Often some wobbling at beginning
2025-09-10 19-37-48,lstm,pouring,5,1,,,1,1,Often some wobbling at beginning
2025-09-10 19-38-11,lstm,pouring,6,1,,,1,1,Often some wobbling at beginning
2025-09-10 19-38-34,lstm,pouring,7,1,,,1,1,Often some wobbling at beginning
2025-09-10 19-38-57,lstm,pouring,8,1,,,1,1,Often some wobbling at beginning
2025-09-10 19-39-20,lstm,pouring,9,1,,,1,1,Often some wobbling at beginning
2025-09-10 19-39-43,lstm,pouring,10,1,,,1,1,Often some wobbling at beginning
2025-09-10 19-40-06,lstm,pouring,11,1,,,1,1,Often some wobbling at beginning
2025-09-10 19-40-29,lstm,pouring,12,1,,,1,1,Often some wobbling at beginning
2025-09-10 19-40-52,lstm,pouring,13,1,,,1,1,Often some wobbling at beginning
2025-09-10 19-41-15,lstm,pouring,14,1,,,1,1,Often some wobbling at beginning
2025-09-10 19-41-38,lstm,pouring,15,1,,,1,1,Often some wobbling at beginning
2025-09-10 19-42-24,lstm_stack,pouring,0,1,,,1,1,A brief fast jerk at beginning but smooth afterwards
2025-09-10 19-42-47,lstm_stack,pouring,1,1,,,1,1,A brief fast jerk at beginning but smooth afterwards
2025-09-10 19-43-10,lstm_stack,pouring,2,1,,,1,1,A brief fast jerk at beginning but smooth afterwards
2025-09-10 19-43-33,lstm_stack,pouring,3,1,,,1,1,A brief fast jerk at beginning but smooth afterwards
2025-09-10 19-43-56,lstm_stack,pouring,4,1,,,1,1,A brief fast jerk at beginning but smooth afterwards
2025-09-10 19-44-19,lstm_stack,pouring,5,1,,,1,1,A brief fast jerk at beginning but smooth afterwards
2025-09-10 19-44-42,lstm_stack,pouring,6,1,,,1,1,A brief fast jerk at beginning but smooth afterwards
2025-09-10 19-45-05,lstm_stack,pouring,7,1,,,1,1,A brief fast jerk at beginning but smooth afterwards
2025-09-10 19-45-28,lstm_stack,pouring,8,1,,,1,1,A brief fast jerk at beginning but smooth afterwards
